"Urząd";"Numer na karcie do głosowania";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Wykształcenie";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Przynależność do partii";"Liczba głosów";"Procent głosów";"Czy uzyskał mandat";"Obszar";"TERYT";"Płeć";"Liczba głosów ważnych na wszystkich kandydatów"
"Wójt Gminy Uście Gorlickie";2;"GARBOWSKA-GÓRA Ewa Małgorzata";"KOMITET WYBORCZY WYBORCÓW WSPÓŁPRACA DLA ROZWOJU";"KWW WSPÓŁPRACA DLA ROZWOJU";43;"wyższe";"Banica";"120510";"gm. Uście Gorlickie";"";"nie należy do partii politycznej";;;;"gm. Uście Gorlickie";"120510";"Kobieta";
"Wójt Gminy Czernichów";1;"FILIPOWICZ Danuta";"KOMITET WYBORCZY WYBORCÓW DANUTY FILIPOWICZ";"KWW DANUTY FILIPOWICZ";51;"wyższe";"Rybna";"120601";"gm. Czernichów";"";"nie należy do partii politycznej";;;;"gm. Czernichów";"120601";"Kobieta";
"Wójt Gminy Czernichów";2;"JÓZEFCZYK Piotr Wiesław";"KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA MIESZKAŃCÓW GMINY CZERNICHÓW";"KWW WSPÓLNIE DLA MIESZKAŃCÓW GMINY CZERNICHÓW";49;"wyższe";"Rusocice";"120601";"gm. Czernichów";"";"nie należy do partii politycznej";;;;"gm. Czernichów";"120601";"Mężczyzna";
"Wójt Gminy Czernichów";3;"WROŃSKA Joanna Stanisława";"KOMITET WYBORCZY WYBORCÓW CZERNICHÓW - WSPÓLNA GMINA";"KWW CZERNICHÓW - WSPÓLNA GMINA";35;"wyższe";"Nowa Wieś Szlachecka";"120601";"gm. Czernichów";"";"nie należy do partii politycznej";;;;"gm. Czernichów";"120601";"Kobieta";
"Wójt Gminy Igołomia-Wawrzeńczyce";1;"GŁADYSZ Barbara Anna";"KOMITET WYBORCZY WYBORCÓW DYNAMICZNA GMINA IGOŁOMIA-WAWRZEŃCZYCE";"KWW DYNAMICZNA GMINA IGOŁOMIA-WAWRZEŃCZYCE";44;"wyższe";"Wawrzeńczyce";"120602";"gm. Igołomia-Wawrzeńczyce";"";"nie należy do partii politycznej";;;;"gm. Igołomia-Wawrzeńczyce";"120602";"Kobieta";
"Wójt Gminy Igołomia-Wawrzeńczyce";2;"JOŃCZYK Henryk Janusz";"KOMITET WYBORCZY POROZUMIENIE PODKRAKOWSKIE";"KW POROZUMIENIE PODKRAKOWSKIE";58;"wyższe rolnicze";"Hebdów";"121403";"gm. Nowe Brzesko";"";"nie należy do partii politycznej";;;;"gm. Igołomia-Wawrzeńczyce";"120602";"Mężczyzna";
"Wójt Gminy Iwanowice";1;"KMITA Ewelina Dominika";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";45;"wyższe";"Iwanowice Dworskie";"120603";"gm. Iwanowice";"";"członek partii politycznej: PiS";;;;"gm. Iwanowice";"120603";"Kobieta";
"Wójt Gminy Iwanowice";2;"LISOWSKI Robert";"KOMITET WYBORCZY WYBORCÓW RAZEM DLA GMINY IWANOWICE";"KWW RAZEM DLA GMINY IWANOWICE";52;"wyższe";"Zielonki";"120617";"gm. Zielonki";"";"nie należy do partii politycznej";;;;"gm. Iwanowice";"120603";"Mężczyzna";
"Wójt Gminy Jerzmanowice-Przeginia";1;"BOCHEŃSKA Magdalena Jadwiga";"KOMITET WYBORCZY WYBORCÓW MAGDALENY BOCHEŃSKIEJ";"KWW MAGDALENY BOCHEŃSKIEJ";45;"wyższe";"Jerzmanowice";"120604";"gm. Jerzmanowice-Przeginia";"";"nie należy do partii politycznej";;;;"gm. Jerzmanowice-Przeginia";"120604";"Kobieta";
"Wójt Gminy Jerzmanowice-Przeginia";2;"GWIZDAŁA Tomasz Tadeusz";"KOMITET WYBORCZY WYBORCÓW TOMASZA GWIZDAŁY";"KWW TOMASZA GWIZDAŁY";46;"wyższe";"Jerzmanowice";"120604";"gm. Jerzmanowice-Przeginia";"";"nie należy do partii politycznej";;;;"gm. Jerzmanowice-Przeginia";"120604";"Mężczyzna";
