"Województwo";"Powiat";"Gmina";"Wybierany organ";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba TKW";"Opis granic";"TERYT Gminy";"Liczba wyborców w części B spisu wyborów";"Liczba wysłanych pakietów wyborczych"
"dolnośląskie";"polkowicki";"gm. Polkowice";"Burmistrz Polkowic";6;25339;20105;"Polkowice";"gm. Polkowice";"021604";0;0
"dolnośląskie";"polkowicki";"gm. Przemków";"Burmistrz Przemkowa";4;7709;6246;"Przemków";"gm. Przemków";"021605";0;0
"dolnośląskie";"polkowicki";"gm. Radwanice";"Wójt Gminy Radwanice";3;5012;3900;"Radwanice";"gm. Radwanice";"021606";0;0
"dolnośląskie";"strzeliński";"gm. Borów";"Wójt Gminy Borów";2;5056;4148;"Borów";"gm. Borów";"021701";0;0
"dolnośląskie";"strzeliński";"gm. Kondratowice";"Wójt Gminy Kondratowice";2;4068;3374;"Kondratowice";"gm. Kondratowice";"021702";5;0
"dolnośląskie";"strzeliński";"gm. Przeworno";"Wójt Gminy Przeworno";3;4545;3744;"Przeworno";"gm. Przeworno";"021703";0;0
"dolnośląskie";"strzeliński";"gm. Strzelin";"Burmistrz Miasta i Gminy Strzelin";1;20693;17247;"Strzelin";"gm. Strzelin";"021704";1;0
"dolnośląskie";"strzeliński";"gm. Wiązów";"Burmistrz Miasta i Gminy Wiązów";1;6883;5560;"Wiązów";"gm. Wiązów";"021705";0;2
"dolnośląskie";"średzki";"gm. Kostomłoty";"Wójt Gminy Kostomłoty";3;6895;5596;"Kostomłoty";"gm. Kostomłoty";"021801";0;0
"dolnośląskie";"średzki";"gm. Malczyce";"Wójt Gminy Malczyce";2;5552;4562;"Malczyce";"gm. Malczyce";"021802";1;0
"dolnośląskie";"średzki";"gm. Miękinia";"Burmistrz Miękini";4;19507;14627;"Miękinia";"gm. Miękinia";"021803";1;1
"dolnośląskie";"średzki";"gm. Środa Śląska";"Burmistrz Środy Śląskiej";3;18699;15197;"Środa Śląska";"gm. Środa Śląska";"021804";0;1
"dolnośląskie";"średzki";"gm. Udanin";"Wójt Gminy Udanin";1;4837;4004;"Udanin";"gm. Udanin";"021805";0;0
"dolnośląskie";"świdnicki";"m. Świdnica";"Prezydent Miasta Świdnicy";4;49119;41542;"Świdnica";"m. Świdnica";"021901";5;9
"dolnośląskie";"świdnicki";"m. Świebodzice";"Burmistrz Miasta Świebodzice";4;20319;16983;"Świebodzice";"m. Świebodzice";"021902";0;1
"dolnośląskie";"świdnicki";"gm. Dobromierz";"Wójt Gminy Dobromierz";2;4891;3975;"Dobromierz";"gm. Dobromierz";"021903";0;1
"dolnośląskie";"świdnicki";"gm. Jaworzyna Śląska";"Burmistrz Jaworzyny Śląskiej";3;9839;7956;"Jaworzyna Śląska";"gm. Jaworzyna Śląska";"021904";4;0
"dolnośląskie";"świdnicki";"gm. Marcinowice";"Wójt Gminy Marcinowice";2;6377;5170;"Marcinowice";"gm. Marcinowice";"021905";2;0
"dolnośląskie";"świdnicki";"gm. Strzegom";"Burmistrz Strzegomia";4;23428;19433;"Strzegom";"gm. Strzegom";"021906";1;0
"dolnośląskie";"świdnicki";"gm. Świdnica";"Wójt Gminy Świdnica";5;17136;13739;"Świdnica";"gm. Świdnica";"021907";2;4
"dolnośląskie";"świdnicki";"gm. Żarów";"Burmistrz Miasta Żarów";2;11760;9556;"Żarów";"gm. Żarów";"021908";2;0
"dolnośląskie";"trzebnicki";"gm. Oborniki Śląskie";"Burmistrz Obornik Śląskich";3;20069;16208;"Oborniki Śląskie";"gm. Oborniki Śląskie";"022001";1;12
"dolnośląskie";"trzebnicki";"gm. Prusice";"Burmistrz Gminy Prusice";1;9154;7396;"Prusice";"gm. Prusice";"022002";0;0
"dolnośląskie";"trzebnicki";"gm. Trzebnica";"Burmistrz Gminy Trzebnica";5;23591;18927;"Trzebnica";"gm. Trzebnica";"022003";5;2
"dolnośląskie";"trzebnicki";"gm. Wisznia Mała";"Wójt Gminy Wisznia Mała";2;10989;8739;"Wisznia Mała";"gm. Wisznia Mała";"022004";3;1
"dolnośląskie";"trzebnicki";"gm. Zawonia";"Wójt Gminy Zawonia";4;5911;4734;"Zawonia";"gm. Zawonia";"022005";4;0
"dolnośląskie";"trzebnicki";"gm. Żmigród";"Burmistrz Gminy Żmigród";2;13872;11278;"Żmigród";"gm. Żmigród";"022006";1;0
